code,title,intro,includes,alsoIncludes,excludes
04.5.4.3,Charcoal (ND),"Charcoal, whether agglomerated or not, in the form of blocks, sticks, granules or powder; or agglomerated with tar or other substances, in the form of balls, briquettes, tablets and so on.","* wood and bamboo charcoal
* shell and nut charcoal
* charcoal briquettes",* charcoal briquettes for barbecuing,
04.5.4.9,Other solid fuels (ND),,"* coke
* other types of briquettes
* other biomass n.e.c., such as waste from agricultural production (e.g., wheat and nutshells) and dry animal dung",,
04.5.5,Other energy for heating and cooling (ND),,"* hot water and steam purchased from district heating plants
* ice used for the purpose of cooling and refrigeration","* associated expenditure, such as meter rentals, cost of meter readings, standing charges and so on",* ice cubes (01.1.8.6)
04.5.5.0,Other energy for heating and cooling (ND),,"* hot water and steam purchased from district heating plants
* ice used for cooling and refrigeration purposes","* associated expenditure, such as meter rentals of, cost of meter readings, standing charges and so on",* ice cubes (01.1.8.6)
05,"Furnishings, household equipment and routine household maintenance","Division 05 covers the wide range of products and equipment – durable, semi-durable and non-durable – used to furnish a house or dwelling, as well as the associated household services. This division includes all types of furniture, furnishings and lighting equipment (05.1); household textiles (05.2); major and small electric household appliances (05.3); glassware, tableware and household utensils (05.4); tools and equipment for house and garden (05.5); and goods used for routine household maintenance (05.6.1).

Also included are repair, installation and rental of the goods classified to division 05.

Domestic services by paid staff in private service, supplied by enterprises and self-employed persons, are included, as well as window cleaning; pest extermination; disinfection; and dry-cleaning, laundering and dyeing of household textiles and carpets (05.6.2)",,,
05.1,"Furniture, furnishings, and loose carpets",,,,
05.1.1,"Furniture, furnishings and loose carpets (D)",,"* sofas, couches, tables, chairs, cupboards, chests of drawers and bookshelves, hanger stands and coat stands
* bunk beds and baby furniture, such as cradles, highchairs and playpens
* beds, mattresses, mattress bases (tatamis), wardrobes and bedside tables
* kitchen tables, chairs, cupboards and surfaces
* furniture primarily for bathroom use
* furniture primarily for garden use
* wrought iron benches, tables and arbours
* small garden sheds for the storage of garden tools and machines
* camping furniture
* lighting equipment, such as ceiling lights, standard lamps, globe lights, bedside lamps, and light and LED strings","* inflatable sofas, armchairs and beds
* custom-made furniture
* loose carpets and rugs
* pictures, sculptures, engravings, tapestries, other art objects, including reproductions of works of art, and other ornaments
* statuettes and other decorative articles, including those made of porcelain and crystal glass
* wall clocks, floor clocks, alarm clocks and travel clocks
* screens, folding partitions, non-textile blinds, mirrors, candle holders and candlesticks
* leather and fur for upholstery and room decoration","* decorative garden materials (09.3.1.1)
* repair and hire of household, garden and camping furniture and lighting equipment (05.1.2.0)
* installation of furniture and furnishings if separately priced from delivery (05.1.2.0)
* bedding (bed linen) (05.2.1.2)
* sunshades (05.2.1.9)
* safes (05.3.1.9)
* ornamental glass and ceramic articles (05.4.0.1)
* light bulbs, tubes and LEDs (05.5.2.2)
* delivery of loose carpets and other furniture and furnishings if separately priced (07.4.9.2)
* installation of furniture and furnishings if not separately priced from delivery (07.4.9.2)
* light strings for Christmas trees (09.2.1.3)
* camping equipment (09.2.2.2)
* carrycots, pushchairs/strollers; and wall thermometers and barometers (13.2.9.1)
* works of art and antique furniture acquired primarily as stores of value (capital formation)"
05.1.1.1,Household furniture (D),,"* sofas, couches, tables, chairs, cupboards, chests of drawers, bookshelves, hanger stands and coat stands
* bunk beds and baby furniture, such as cradles, high chairs and playpens
* beds, mattresses, mattress bases (tatamis), wardrobes and bedside tables
* kitchen tables, chairs, cupboards and surfaces
* furniture primarily for bathroom use","* inflatable sofas, armchairs and beds
* pieces of custom-made furniture","* repair, installation and hire of household furniture (05.1.2.0)
* antique furniture acquired primarily as stores of value (capital formation)"
05.1.1.2,Garden and camping furniture (D),,"* furniture used primarily in gardens
* wrought iron benches, tables and arbours
* small garden sheds for the storage of garden tools and machines
* camping furniture",* custom-made furniture,"* decorative garden materials (09.3.1.1)
* repair, installation and hire of garden and camping furniture (05.1.2.0)
* camping equipment (09.2.2.2)"
05.1.1.3,Lighting equipment (D),,"* lighting equipment, such as ceiling lights, standard lamps, globe lights, bedside lamps, light and LED strings, and parts thereof",,"* repair and hire of lighting equipment (05.1.2.0)
* light bulbs, tubes and LEDs (05.5.2.2)
* light strings for Christmas trees (09.2.1.3)"
05.1.1.4,"Furnishings, loose carpets and rugs (D)",,"* loose carpets and rugs
* pictures, sculptures, engravings, tapestries and other art objects, including reproductions of works of art and other ornaments
* statuettes and other decorative articles, including those made of porcelain and crystal glass
* wall clocks, floor clocks, alarm clocks and travel clocks
* screens, folding partitions, non-textile blinds, mirrors, candle holders and candlesticks
* leather and fur for upholstery and room decoration",,"* fitted carpets and linoleum (04.3.1.1)
* repair and hire of loose carpets and other furniture and furnishings (05.1.2.0)
* installation of furniture and furnishings if separately priced from delivery (05.1.2.0)
* bedding (bed linen) (05.2.1.2)
* sunshades (05.2.1.9)   
* safes (05.3.1.9)
* ornamental glass and ceramic articles (05.4.0.1)
* delivery of loose carpets and other furniture and furnishings if separately priced (07.4.9.2)
* installation of furniture and furnishings if not separately priced from delivery (07.4.9.2)
* carrycots, pushchairs and strollers; and wall thermometers and barometers (13.2.9.1)
* works of art acquired primarily as stores of value (capital formation)"
05.1.2,"Repair, installation and hire of furniture, furnishings and loose carpets (S)",The cost of materials is included only if the materials are not separately priced.,"* repair of furniture, garden and camping furniture, furnishings and loose carpets
* restoration of works of art, antique furniture and antique floor coverings other than those acquired primarily as stores of value (capital formation)
* hire of furniture, garden and camping furniture, furnishings and loose carpets
* installation of furniture, when separately priced",,"* laying and repair of fitted carpets, linoleum and other such floor coverings (04.3.2.0)
* materials purchased by households with the intention of undertaking maintenance and repair themselves (05.1.1)
* dry-cleaning and shampooing of carpets (05.6.2.9)"
05.1.2.0,"Repair, installation and hire of furniture, furnishings and loose carpets (S)",The cost of materials is included only if the materials are not separately priced.,"* repair of furniture, garden and camping furniture, furnishings and loose carpets
* restoration of works of art, antique furniture and antique floor coverings other than those acquired primarily as stores of value (capital formation)
* hire of furniture, garden and camping furniture, furnishings and loose carpets
* installation of furniture, when separately priced",,"* laying and repair of fitted carpets, linoleum and other such floor coverings (04.3.2.0)
* materials purchased by households with the intention of undertaking maintenance and repair themselves (05.1.1)
* dry-cleaning and shampooing of carpets (05.6.2.9)"
05.2,Household textiles,,,,
05.2.1,Household textiles (SD),,"* furnishing fabrics, curtain material, curtains, double curtains, awnings, door curtains and fabric blinds
* bedding, such as covers for futons, pillows, bolsters and hammocks
* bed linen, such as sheets, pillowcases, blankets, travelling rugs, plaids, eiderdowns, counterpanes and mosquito nets
* table and bathroom linen, such as tablecloths, table napkins, towels and facecloths
* other household textiles, such as shopping bags, laundry bags, shoe bags, covers for clothes and furniture, flags, sunshades and so on
* oilcloth; bathroom mats, rush mats and doormats; and made-to-measure household textiles",* feathers and other fillers for pillows,"* fabric wall coverings (04.3.1.1)
* floor coverings, such as loose carpets and rugs; and tapestries (05.1.1.4)
* repair and sewing of household textiles (05.2.2.0)
* electric blankets (05.3.2.9)
* covers for motor cars, motorcycles, etc. (07.2.1.3)
* air mattresses and sleeping bags (09.2.2.2)"
05.2.1.1,Furnishing fabrics and curtains (SD),,"* furnishing fabrics, curtain material, curtains, double curtains, awnings, door curtains and fabric blinds",,* repair and sewing of curtains (05.2.2.0)
05.2.1.2,Bed linen and bedding (SD),,"* bed linen, such as sheets, pillowcases, blankets, travelling rugs, plaids, eiderdowns, counterpanes and mosquito nets
* bedding, such as covers for futons, pillows, bolsters and hammocks",,"* repair and sewing of bed linen (05.2.2.0)
* electric blankets (05.3.2.9)
* air mattresses and sleeping bags (09.2.2.2)"
05.2.1.3,Table linen and bathroom linen (SD),,"* table and bathroom linen, such as tablecloths, table napkins, towels and face cloths",,* repair and sewing of table and bathroom linen (05.2.2.0)
05.2.1.9,Other household textiles (SD),,"* textile shopping bags, laundry bags, shoe bags, covers for clothes and furniture, flags, sunshades, etc.
* oilcloth
* bathroom mats, rush mats and doormats",* feathers and other fillers for pillows,"* fabric wall coverings (04.3.1.1)
* floor coverings, such as loose carpets and rugs; and tapestries (05.1.1.4)
* repair and sewing of other household textiles (05.2.2.0)
* covers for motor cars, motorcycles, etc. (07.2.1.3)"
05.2.2,"Repair, hire and sewing services of household textiles (S)",The cost of materials is included only if they are not separately priced.,"* repair of household textiles
* sewing of household textiles
* hire of household textiles",,
05.2.2.0,"Repair, hire and sewing services of household textiles (S)",The cost of materials is included only if they are not separately priced.,"* repair of household textiles
* sewing of household textiles
* hire of household textiles",,
05.3,Household appliances,,,,
05.3.1,Major electric and other household appliances (D),,"* refrigerators, dual-temperature refrigerators and freezers
* dishwashers
* electric, gas, oil, ceramic and induction panels; hobs; spit roasters; electric, gas and convection ovens; and combined cooker and microwave ovens
* extractor hoods","* washing machines, dryers, drum dryers, drying cabinets and drying radiators
* ironing machines and electric mangles
* air conditioners, humidifiers, space heaters, water heaters and ventilators
* vacuum cleaners; steam cleaning machines; carpet shampooing machines; and machines for scrubbing, waxing and polishing floors
* other major household appliances, such as safes, sewing machines, knitting machines and water softeners
* appliance delivery and installation where applicable and when not separately priced
* parts and materials purchased by households with the intention of undertaking maintenance and repair themselves","* repair and hire of household appliances (05.3.3.0)
* such appliances that are built into the structure of the building (capital formation)"
05.3.1.1,Major kitchen appliances (D),,"* refrigerators, dual-temperature refrigerators and freezers
* dishwashers
* electric, gas, oil, ceramic and induction panels; hobs; spit roasters; electric. gas and convection ovens; and combined cooker and microwave ovens
* extractor hoods",,"* repair, installation and hire of kitchen appliances (05.3.3.0)"
05.3.1.2,Major laundry appliances (D),,"* washing machines, dryers, drum dryers, drying cabinets and drying radiators
* ironing machines and electric mangles",,"* repair, installation and hire of laundry appliances (05.3.3.0)"
05.3.1.3,Heaters and air conditioners (D),,"* air conditioners, humidifiers, space heaters, water heaters and ventilators",,"* repair, installation and hire of these appliances (05.3.3.0)"
05.3.1.4,Cleaning equipment (D),,"* vacuum cleaners; steam-cleaning machines; carpet shampooing machines; and machines for scrubbing, waxing and polishing floors",,"* repair, installation and hire of cleaning equipment (05.3.3.0)"
05.3.1.9,Other major household appliances (D),,"* other major household appliances, such as safes, sewing machines, knitting machines and water softeners",,* repair and hire of household appliances (05.3.3.0)
05.3.2,Small household appliances (SD),,"* multifunction machines, food mixers, blenders and blenders with heating elements
* slicing machines
* rice cookers and slow cookers
* toasters
* sandwich grills
* meat and fish grills
* deep fryers
* ice cream makers
* sorbet makers
* yoghurt makers
* hot plates
* can openers
* electric knives
* coffee machines
* tea makers
* water boilers
* kettles
* coffee mills
* juice extractors
* electric irons
* fans
* electric blankets","* non-electric appliances for cooking and processing of food, such as purée makers, mincers, hot plates and household scales
* non-electric appliances for preparing beverages, such as coffee mills, sparkling water makers and juice extractors
* other non-electric household appliances, such as irons and ironing boards","* ironing machines (05.3.1.2)
* repair, installation and hire of electric household appliances (05.3.3.0)
* small non-electric household articles and kitchen utensils (05.4.0.3)
* baby scales (06.1.2.1)
* personal weighing machines (13.1.2.0)"
05.3.2.1,Small appliances for the cooking and processing of food (SD),,"* multifunction machines, food mixers, blenders and blenders with heating elements
* slicing machines
* rice cookers and slow cookers
* toasters
* sandwich grills
* meat and fish grills
* deep fryers
* ice cream makers
* sorbet makers
* yoghurt makers
* hot plates
* can openers
* electric knives","* non-electric appliances for the cooking and processing of food, such as purée makers, mincers, hot plates and household scales","* repair, installation and hire of food processing appliances (05.3.3.0)"
05.3.2.2,Small appliances for the preparation of beverages (SD),,"* coffee machines
* tea makers
* water boilers
* kettles
* coffee mills
* sparkling water makers
* juice extractors","* non-electric appliances for the preparation of beverages, such as coffee mills, sparkling- water makers and juice extractors","* repair, installation and hire of coffee machines, tea makers and similar appliances (05.3.3.0)"
05.3.2.9,Other small household appliances (SD),,"* electric irons
* fans
* electric blankets",* other non-electric household appliances,"* ironing machines (05.3.1.2)
* small non-electric household articles and kitchen utensils (05.4.0.3)
* personal weighing machines (13.1.2.0)
* baby scales (06.1.2.1)
* repair, installation and hire of other small household appliances (05.3.3.0)"
05.3.3,"Repair, installation and hire of household appliances (S)",The cost of materials is included only if the materials are not separately priced.,"* repair of household appliances
* hire of household appliances
* installation of household appliances (if priced separately)",,"* materials purchased by households with the intention of undertaking maintenance and repair themselves (05.3.1, 05.3.2)"
05.3.3.0,"Repair, installation and hire of household appliances (S)",The cost of materials is included only if the materials are not separately priced.,"* repair of household appliances
* hire of household appliances
* installation of household appliances (if priced separately)",,"* materials purchased by households with the intention of undertaking maintenance and repair themselves (05.3.1, 05.3.2)"
05.4,"Glassware, tableware and household utensils",,,,
05.4.0,"Glassware, tableware and household utensils (SD)",,"* glassware, crystal ware, ceramic ware and china ware of the kind used for table, kitchen, bathroom or toilet 
* cutlery, flatware and silverware
* kitchen utensils of all materials, such as saucepans, stewpots, pressure cookers and frying pans
* household articles of all materials, such as containers for bread, coffee and spices, etc.; and waste bins, waste-paper baskets, laundry baskets, portable money boxes and strongboxes, towel rails, bottle racks, letter boxes, feeding bottles, thermos flasks and iceboxes
* repair and hire of glassware, tableware and household utensils",,"* disposable tableware (05.6.1.9)
* ashtrays (13.2.9.1)"
05.4.0.1,"Glassware, crystal ware, ceramic ware and china ware (SD)",,"* glassware, crystal ware, ceramic ware and china ware of the kind used for table, kitchen, bathroom or toilet",,"* repair and hire of glassware, crystal ware, ceramic ware and chinaware (05.4.0.4)"
05.4.0.2,"Cutlery, flatware and silverware (SD)",,"* cutlery, flatware and silverware",,"* repair and hire of cutlery, flatware and silverware (05.4.0.4)"
05.4.0.3,Kitchen utensils and articles (SD),,"* kitchen utensils of all materials, such as saucepans, stewpots, pressure cookers and frying pans;
* household articles of all materials, such as containers for bread, coffee, spices and so on, waste bins, waste-paper baskets, laundry baskets, portable money boxes and strongboxes, towel rails, bottle racks, letter boxes, feeding bottles, thermos flasks and iceboxes",,"* repair and hire of kitchen utensils and articles (05.4.0.4)
* disposable tableware (05.6.1.9)
* ashtrays (13.2.9.1)"
05.4.0.4,"Repair and hire of glassware, tableware and household utensils (S)",The cost of materials is included only if the materials are not separately priced.,"* repair and hire of glassware, crystal ware, ceramic ware and china ware; cutlery, flatware and silverware; and kitchen utensils and articles",,
05.5,Tools and equipment for house and garden,,,,
05.5.1,Motorized tools and equipment (D),,"* electric drills, percussion drills, electric saws and electric sanders
* garden tractors, chain saws, lawn mowers, lawn clippers, hedge cutters and cultivators
* water pumps
* electric screwdrivers",,* repair and hire of motorized major tools and equipment (05.5.3.0)
05.5.1.0,Motorized tools and equipment (D),,"* electric drills, percussion drill, electric saws, electric sanders
* garden tractors, chain saws, lawn mowers, clipper for lawn, hedge cutters, cultivators
* water pumps
* electric screwdrivers",,"* repair, installation and hire of motorized major tools and equipment (05.5.3.0)"
05.5.2,Non-motorized tools and miscellaneous accessories (SD),,"* hand tools, such as saws, hammers, screwdrivers, wrenches, spanners, pliers, trimming knives, rasps and files
* garden tools, such as wheelbarrows, watering cans, hoses, spades, shovels, rakes, forks, scythes, sickles and secateurs
* ladders and steps
* fittings for radiators and fireplaces, other household accessories (curtain rails, curtain rods, string curtain rods, carpet rods, hooks, etc.) and garden accessories (chains, grids, stakes and hoop segments for fencing and bordering)
* small electric accessories, such as switches, lamp bulbs, fluorescent lighting tubes, torches, flashlights, hand lamps and electric batteries and chargers for general use",,"* door fittings, power sockets, switches and wiring flex (04.3.1.1)
* repair and hire of miscellaneous small tool accessories (05.5.3.0)
* batteries for information and communication equipment (08.1.9.2)
* batteries for photographic and cinematographic equipment (09.1.1.2)"
05.5.2.1,Non-motorized tools (SD),,"* saws, hammers, screwdriver, wrenches, spanners, pliers, trimming knives, rasps and files;
* power shears, wheelbarrows, watering cans, hoses, spades, shovels, rakes, forks, scythes, sickles and secateurs
* ladders and steps",,* repair and hire of non-motorized small tools (05.5.3.0)
05.5.2.2,Miscellaneous accessories (SD),,"* fittings for radiators and fireplaces, other miscellaneous accessories for the house (curtain rails, curtain rods of wood or plastics, string curtain rods, carpet rods, hooks, etc.) or for the garden (chains, grids, stakes and hoop segments for fencing and bordering)
* small electric accessories, such as lamp bulbs, fluorescent lighting tubes, torches, flashlights, hand lamps, electric accessories as fuses, and electric batteries and chargers for general use",,"* door fittings, power sockets, switches and wiring flex (04.3.1.1)
* repair and hire of miscellaneous small tool accessories (05.5.3.0)
* fuses for cars, motorcycles, etc. (07.2.1.2) 
* batteries for information and communication equipment (08.1.9.2)
* batteries for photographic and cinematographic equipment (09.1.1.2)"
05.5.3,Repair and hire of motorized and non-motorized tools and equipment (S),The cost of materials is included only if the materials are not separately priced.,"* repair and hire of motorized tools and equipment
* repair and hire of non-motorized tools and miscellaneous accessories",,
05.5.3.0,Repair and hire of motorized and non-motorized tools and equipment (S),The cost of materials is included only if the materials are not separately priced.,"* repair and hire of motorized tools and equipment
* repair and hire of non-motorized small tools and miscellaneous accessories",,
05.6,Goods and services for routine household maintenance,,,,
05.6.1,Non-durable household goods (ND),,"* detergents, hand and machine dishwashing detergents, scouring powders, disinfectant bleaches, softeners, conditioners and stain removers
* general-purpose cleansers, window-cleaning products, unblocking agent and disinfectants
* floor waxes and polishes
* polishes, creams and other shoe-cleaning items (e.g., shoe brushes)
* insecticides, pesticides, fungicides and distilled water
* dustpans, dust brushes and dusters
* cloths, floor cloths and chamois leathers
* dish brushes, household sponges, scourers and steel wool
* filters, tablecloths and table napkins, kitchen papers, baking parchment rolls, kitchen films, aluminium foils and doilies
* disposable plates, cups and cutlery
* vacuum cleaner bags
* candles, lamp wicks, methylated spirits and garbage bags and other single-use plastic bags
* matches, clothes pegs, clothes hangers, pins, safety pins, sewing needles, knitting needles, thimbles, nails, screws, nuts and bolts, tacks, washers, glues and adhesive tapes for household use, string, twine, rubber gloves and gardening gloves
* pool cleaning chemicals and water treatment chemicals",,"* brushes and scrapers for paint, varnish and wallpaper (04.3.1.1)
* products used specifically for the cleaning and maintenance of transport equipment, such as paints, chrome cleaners, sealing compounds and bodywork polishes (07.2.1.3)
* horticultural products for the upkeep of ornamental gardens (09.3.1.1)
* paper handkerchiefs, toilet paper, toilet soaps, toilet sponges and other personal hygiene products (13.1.2.0)
* cigarette, cigar and pipe lighters and lighter fuel (13.2.9.1)"
05.6.1.1,Household cleaning and maintenance products (ND),,"* detergents, hand and machine dishwashing detergent, scouring powders, disinfectant bleaches, softeners, conditioners and stain removers
* general-purpose cleansers, window-cleaning products, unblocking agents and disinfectants
* floor waxes and polishes
* polishes, creams and other shoe-cleaning items (e.g., shoe brushes)
* dustpans, dusting brushes and dusters
* cloths, floor cloths and chamois leathers
* dish brushes, household sponges, scourers and steel wool
* vacuum cleaner bags
* pool cleaning chemicals and water treatment chemicals",,"* brushes and scrapers for paint, varnish and wallpaper (04.3.1.1)
* products used specifically for the cleaning and maintenance of transport equipment, such as paints, chrome cleaners, sealing compounds and bodywork polishes (07.2.1.3)
* horticultural products for the upkeep of ornamental gardens (09.3.1.1)"
05.6.1.9,Other non-durable household goods (ND),,"* insecticides, pesticides, fungicides and distilled water
* filters, tablecloths and table napkins, kitchen papers, baking parchment rolls, kitchen film, aluminium foils and doilies
* disposable plates, cups and cutlery
* candles, lamp wicks, methylated spirits, plastic bags and garbage bags
* matches, clothes pegs, clothes hangers, pins, safety pins, sewing needles, knitting needles, thimbles, nails, screws, nuts and bolts, tacks, washers, glues and adhesive tapes for household use, string, twine. rubber gloves and gardening gloves",,"* paper handkerchiefs, toilet paper, toilet soaps, toilet sponges and other personal hygiene products (13.1.2.0)
* cigarette, cigar and pipe lighters and lighter fuel (13.2.9.1)"
05.6.2,Domestic services and household services (S),"Domestic services (05.6.2.1) include services provided by personnel employed by households (such as butlers, maids, cooks, nannies, governesses, cleaners, au pairs and gardeners), as well as similar household services such as babysitting, gardening and cleaning supplied by enterprises and self-employed persons. Other household services (05.6.2.9) are non-routine domestic services typically provided by enterprises and self-employed persons, such as carpet cleaning, pest extermination and disinfection.","* domestic services provided by paid staff employed by the household, such as butlers, cooks, maids, drivers, gardeners, governesses, au pairs and nannies
* similar services, including babysitting and housework, provided by enterprises and self-employed persons
* window cleaning, disinfection, fumigation and pest extermination
* dry-cleaning, laundering and dyeing of household linen, household textiles and carpets
* shampooing of carpets
* taking care of a dwelling in the absence of the owner, whether or not occupying the dwelling; house-sitting",* ironing of household clothes and linen by housemaids in the family residence,"* dry-cleaning, laundering and dyeing of garments (03.1.4.1)
* security services (04.3.2.0)
* refuse collection (04.4.2.0)
* sewage collection (04.4.3)
* co-proprietor charges for caretaking, gardening, stairwell cleaning, heating and lighting, maintenance of lifts and refuse disposal chutes and so on, in multi-occupied buildings (04.4.4.1)
* snow removal and chimney sweeping (04.4.4.9)
* removal and storage services (07.4.9.1)
* child-minding with an educational component (10.1.0.1)
* child-minding outside the home (13.3.0.1)
* bodyguards (13.9.0.9)"
05.6.2.1,Domestic services provided by paid staff (S),,"* domestic services provided by paid staff employed by the household, such as butlers, cooks, maids, drivers, gardeners, governesses, au pairs and nannies
* 	similar domestic services including babysitting, gardening and cleaning supplied by enterprises and self-employed persons",* ironing of household clothes and linen by housemaids in the family residence,"* child-minding with an educational component (10.1.0.1)
* child-minding outside the home (13.3.0.1)"
05.6.2.9,Other household services (S),Other household services typically provided by enterprises and self-employed persons.,"* dry-cleaning of household linen and textiles
* carpet cleaning
* laundering and dyeing of household textiles
* pest extermination and disinfection
* taking care of a dwelling in the absence of the owner, whether or not occupying the dwelling; house-sitting 
* other household services n.e.c",,"* dry-cleaning, laundering and dyeing of garments (03.1.4.1)
* security services (04.3.2.0)
* refuse collection (04.4.2.0)
* sewage collection (04.4.3)
* co-proprietor charges for caretaking, gardening, stairwell cleaning, heating and lighting, maintenance of lifts and refuse disposal chutes, etc. in multi-occupied buildings (04.4.4.1)
* snow removal and chimney sweeping (04.4.4.9)
* removal and storage services (07.4.9.1)
* bodyguards (13.9.0.9)"
06,Health,"Division 06 comprises four main categories, one covering medicines and health products (06.1) and the other three, various types of health services. Those services encompass outpatient care services that do not require an overnight stay (06.2); inpatient care services provided during an overnight stay (06.3); and diagnostic imaging services, medical laboratory services, patient emergency transportation and emergency rescue services (06.4). Covered in group 06.1 are all medicines and health products that are separately priced from health services, except those medicines and health products administered under the direct supervision of a health-care professional during an overnight stay (06.3).

The products and services assigned to division 06 can be used only to achieve specific health aims: preventing illnesses and diseases (e.g., through vaccination); restoring or maintaining a particular state of health or preventing its deterioration; and curing illnesses, diseases and injuries, as well as relieving their symptoms; reducing their severity; or protecting against their exacerbation or their complications.

The division also includes services provided by health-care professionals purely for aesthetic beautification purposes (e.g., cosmetic surgery and teeth-whitening dental treatment).

On the other hand, division 06 excludes foods that are believed to be highly beneficial to health, especially food grown organically, as well as foods or food ingredients that have been shown to have a positive effect on specific functions or systems of the body (division 01).",,,
06.1,Medicines and health products,,"* medicines; vaccines; pharmaceutical preparations; medical devices; assistive and other health-related products used for the prevention, diagnosis and treatment of illnesses, diseases and injuries and purchased by individuals or households, either with or without a prescription, usually from pharmacies, health facilities and medical and assistive equipment suppliers as well as from reliable Internet sources. These products are intended for consumption or use outside a health facility or institution",,"* medicines and health products supplied directly by a health-care provider in a health facility or institution to outpatients (i.e., those patients who are not required to stay overnight) for consumption or use outside a health facility or institution, if not priced separately from the outpatient care services provided (06.2); and medicines and health products supplied to inpatients (i.e., those patients who stay overnight), even if not priced separately from the inpatient care services (06.3)
* fees charged by a health-care provider for dispensing medicines needed during delivery of an outpatient care service that is not identifiable separately from those medicines (06.2); and fees charged by a health-care provider for dispensing medicines needed for delivery of an inpatient care service (06.3), if identifiable separately from the service
* veterinary products (09.3.2.2)
* products for personal care (13.1) including articles for personal hygiene (e.g., aromatherapy products) and beauty products (including beauty enhancing and slimming creams)"
06.1.1,Medicines (ND),,"* all medicines, including branded and generic products, used to prevent, diagnose and treat illnesses, diseases and injuries
* pharmaceutical preparations used to treat illnesses, diseases and injuries (e.g., extemporaneous ointments, syrups, capsules and other galenic substances prepared on prescription)
* vaccines, hormones, oral contraceptives and other pharmaceutical products used to prevent, diagnose and treat illnesses, diseases and injuries
* vitamin and mineral supplements
* fluids required for dialysis, as well as gases used in health care, such as oxygen, when purchased by the patient directly",* service fees charged by pharmacists for dispensing medicines,"* medicines and health products supplied directly by a health-care provider in a health facility or institution to outpatients (i.e., those patients who are not required to stay overnight) for consumption or use outside that facility or institution, if those medicines and health products are not priced separately from the outpatient care services provided (06.2); and medicines and health products supplied to inpatients (i.e., those patients who stay overnight), even if those medicines and health products are priced separately from the inpatient care services (06.3)) 
* fees charged by a health-care practitioner for dispensing medicines needed during delivery of an outpatient care service (06.2) or an inpatient care service (06.3) that are not identifiable separately from the cost of those medicines if not separately identifiable from the service
* veterinary products (09.3.2.2)
* products for personal care (13.1) including articles for personal hygiene (e.g., aromatherapy products) and beauty products including beauty enhancing and slimming creams)"
06.1.1.1,"Medicines, vaccines and other pharmaceutical preparations (ND)",,"* all medicines, including branded and generic products, used to prevent, diagnose and treat illnesses, diseases and injuries
* pharmaceutical preparations used to treat illnesses, diseases and injuries (e.g., extemporaneous ointments, syrups, capsules and other galenic substances prepared on prescription)
* medicinal soap
* vaccines, hormones, oral contraceptives and other pharmaceutical products used to prevent, diagnose and treat illnesses, diseases and injuries
* vitamin and mineral supplements
* fluids required for dialysis, as well as gases used in health care, such as oxygen, when purchased by the patient directly",* service fees charged by pharmacists for dispensing medicines,"* medicines and health products supplied directly by a health-care provider in a health facility or institution to outpatients (i.e., those patients who are not required to stay overnight) for consumption or use outside that facility or institution, if those medicines and health products are not priced separately from the outpatient care services provided; and medicines and health products supplied to inpatients (i.e., those patients who stay overnight), even if those medicines and health products are priced separately from the inpatient care services
* service fees charged by a health-care practitioner for dispensing medicines needed during delivery of an outpatient service (06.2) or during delivery of an inpatient service (06.3), if not separately identifiable from the service
* veterinary products (09.3.2.2)
* products for personal care (13.1) including articles for personal hygiene (e.g., aromatherapy products) and beauty products (including beauty enhancing and slimming creams)"
06.1.1.2,Herbal medicines and homeopathic products (ND),,"* herbs, herbal materials, herbal preparations and finished herbal products that contain, as active ingredients, parts of plants, other plant materials or combinations thereof which are generally used in traditional and complementary medicine
* homeopathic medicines prepared in accordance with a homeopathic manufacturing procedure described in a pharmacopeia in official use or in other official documents and which may contain a number of homeopathic preparations",,"* homeopathic products herbal medicines and homeopathic products supplied directly by a health care provider to outpatients (no overnight stay) or inpatients (overnight stay) for consumption or use outside a health facility are to be classified with outpatient services (06.2) or inpatient services (06.3), if not separately priced from the service."
06.1.2,Medical products (ND),,"* diagnostic equipment for self-testing and personal use outside a health facility or institution
* pregnancy testing kits; thermometers, glucose meters, blood pressure meters and other devices used in point-of care-testing; baby scales and so on
* condoms and other mechanical contraceptive devices, masks, medicinal stockings (e.g., compression stockings), medicinal gloves, insecticide-treated mosquito nets and so on
* inhalers, syringes, humidifiers, nebulizers, hot bags, ice packs, first-aid kits, bandages and so on",,"* oral contraceptives (06.1.1.1)
* diagnostic products for use within a health facility or institution (06.2, 06.3)
* scales (13.1.2.0)"
06.1.2.1,Medical diagnostic products (ND),,"* diagnostic equipment for self-testing and medical equipment sold over the counter for personal use outside a health facility or institution
* pregnancy testing kits; thermometers, glucose meters, blood pressure meters and other devices used in point-of-care testing, baby scales and so on",* medical diagnostic products purchased over the Internet for personal use,"* diagnostic products for use within a health facility or institution (06.2, 06.3)
* scales (13.1.2.0)"
06.1.2.2,Preventive and protective devices (ND),,"* condoms and other mechanical contraceptive devices, masks, medicinal stockings (e.g., compression stockings), medicinal gloves, insecticide-treated mosquito nets and so on",,* oral contraceptives (06.1.1.1)
06.1.2.3,Treatment devices for personal use (ND),,"* inhalers, syringes, humidifiers, nebulizers, hot bags, ice packs, first-aid kits, bandages and so on",,* inhalators and nebulizers with medication (06.1.1.1)
